Unnamed: 0,model,price,motor_power,car_speedometer,passengers,ex_owners,alarm_devise,air_conditioner,CD_recorder,sunroof,leather_upholstery,central_closing,magnesium_rims,air_cushion,name_كيا,name_هونداي,name_بيجو,name_سكودا,name_سوبارو,name_سيت,name_مرسيدس,name_اودي,name_فولكسفاجن,name_Dodge,name_اوبل,name_شفروليه,name_فورد,name_فولفو,name_ستروين,name_جييب,name_تويوتا,name_ايسوزو,name_رينو,name_مازدا,name_فيات,name_بي,name_دايو,name_أفيكو,name_الفا,name_ميتسوبيشي,name_سانغ,name_دراجة,name_جي,name_شاحنة,name_هوندا,name_نيسان,name_داف,name_لاندروفر,name_روفر,name_داتشيا,name_كاديلاك,name_باص,name_سوزوكي,name_ديهاتسو,name_جاجوار,color_أسود ,color_فضي ,color_أزرق ,color_رصاصي ,color_أسود ميتالك ,color_خمري ,color_برتقالي ,color_أحمر ,color_أصفر ,color_أبيض ,color_ذهبي ,color_سكني ,color_فيراني ,color_أبيض عاجي ,color_رمادي ,color_أخضر ,color_عدة الوان ,color_بترولي ,color_كحلي ,color_زيتي ,color_أزرق سماوي ,color_بيج ,color_بني ,color_كرميدي ,color_بنفسجي ,color_جيشي ,glass_type_الكتروني ,glass_type_يدوي ,fuel_type_بنزين ,fuel_type_ديزل ,fuel_type_هايبرد ,fuel_type_كهرباء ,car_type_خصوصي ,car_type_عمومي ,car_type_تأجير ,car_type_حكومي ,car_type_تجاري ,car_type_تدريب سياقة ,license_type_فلسطينية ,license_type_نمرة صفراء ,lime_type_اوتوماتيك ,lime_type_نصف اوتوماتيك ,lime_type_عادي 
10,2010,70000,0.375,0.09083809497375159,4.0,3,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
11,2015,125000,1.0000000000000002,0.06055872998250106,4.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
12,2001,25000,0.5833333333333334,7.065185164625123e-06,4.0,4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
13,2007,32000,0.375,0.11102433830125194,4.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
14,2005,42000,0.5833333333333334,1.0,4.0,2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
15,2016,39500,0.29166666666666663,0.05046560831875088,4.0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
16,2017,78000,0.375,0.007065185164625123,4.0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
17,2000,25000,0.45833333333333337,0.031120122025840916,4.0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
18,2017,153500,0.625,0.02422349199300042,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
19,2008,23000,0.45833333333333337,0.06055872998250106,4.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
20,2012,68000,0.625,1.0,4.0,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
